iter	Passed	Remaining
0	9	9735
1	19	9510
2	28	9351
3	36	9129
4	46	9228
5	55	9185
6	65	9341
7	75	9331
8	85	9359
9	95	9416
10	103	9323
11	112	9259
12	121	9196
13	129	9125
14	137	9060
15	145	8960
16	154	8937
17	163	8916
18	171	8876
19	179	8794
20	187	8739
21	195	8712
22	204	8680
23	213	8665
24	221	8650
25	230	8636
26	238	8611
27	247	8587
28	255	8547
29	263	8518
30	272	8504
31	280	8483
32	288	8463
33	297	8453
34	305	8432
35	313	8400
36	322	8388
37	330	8368
38	339	8361
39	347	8348
40	356	8327
41	364	8304
42	372	8291
43	381	8291
44	390	8295
45	400	8307
46	409	8297
47	418	8301
48	426	8281
49	435	8277
50	443	8261
51	451	8239
52	459	8210
53	467	8195
54	475	8175
55	482	8141
56	490	8114
57	498	8102
58	507	8094
59	515	8074
60	523	8060
61	531	8038
62	539	8027
63	547	8007
64	555	7986
65	562	7958
66	569	7929
67	576	7901
68	583	7872
69	591	7852
70	598	7832
71	606	7810
72	612	7781
73	620	7764
74	628	7745
75	636	7741
76	644	7723
77	652	7707
78	659	7689
79	667	7673
80	674	7657
81	682	7643
82	690	7630
83	698	7618
84	706	7610
85	715	7603
86	723	7591
87	731	7576
88	738	7558
89	746	7543
90	753	7527
91	761	7514
92	768	7495
93	775	7477
94	783	7463
95	790	7448
96	799	7440
97	807	7431
98	815	7422
99	823	7409
100	830	7394
101	838	7381
102	846	7369
103	853	7354
104	861	7343
105	869	7330
106	876	7314
107	883	7298
108	891	7290
109	898	7273
110	906	7261
111	914	7253
112	922	7244
113	930	7235
114	939	7228
115	946	7216
116	954	7205
117	962	7193
118	970	7182
119	977	7169
120	985	7156
121	992	7140
122	999	7128
123	1007	7115
124	1014	7102
125	1021	7085
126	1028	7071
127	1036	7059
128	1043	7048
129	1052	7041
130	1060	7035
131	1069	7032
132	1077	7026
133	1085	7015
134	1093	7003
135	1100	6991
136	1108	6981
137	1115	6969
138	1123	6959
139	1132	6953
140	1141	6955
141	1149	6945
142	1157	6936
143	1164	6924
144	1172	6914
145	1180	6905
146	1188	6896
147	1196	6885
148	1204	6881
149	1212	6869
150	1219	6857
151	1227	6847
152	1235	6837
153	1243	6829
154	1250	6817
155	1258	6807
156	1266	6800
157	1275	6794
158	1282	6783
159	1290	6775
160	1298	6769
161	1307	6762
162	1315	6753
163	1322	6742
164	1330	6732
165	1337	6721
166	1345	6710
167	1352	6700
168	1360	6687
169	1367	6676
170	1374	6665
171	1382	6655
172	1391	6649
173	1399	6644
174	1408	6642
175	1417	6637
176	1426	6631
177	1434	6626
178	1443	6618
179	1451	6612
180	1459	6603
181	1467	6597
182	1475	6588
183	1483	6578
184	1490	6568
185	1499	6560
186	1508	6557
187	1516	6549
188	1525	6544
189	1533	6536
190	1541	6528
191	1549	6519
192	1557	6513
193	1565	6505
194	1574	6500
195	1582	6491
196	1589	6479
197	1597	6469
198	1604	6457
199	1611	6447
200	1619	6438
201	1627	6427
202	1634	6416
203	1641	6406
204	1649	6395
205	1656	6383
206	1663	6373
207	1671	6363
208	1678	6353
209	1686	6342
210	1694	6334
211	1701	6325
212	1709	6316
213	1717	6307
214	1725	6298
215	1732	6289
216	1741	6282
217	1748	6271
218	1756	6263
219	1764	6255
220	1772	6248
221	1780	6240
222	1788	6233
223	1796	6223
224	1804	6216
225	1813	6210
226	1822	6204
227	1830	6197
228	1838	6188
229	1846	6182
230	1854	6174
231	1861	6163
232	1869	6153
233	1876	6144
234	1884	6134
235	1892	6125
236	1899	6116
237	1908	6109
238	1915	6100
239	1923	6090
240	1930	6080
241	1938	6072
242	1946	6063
243	1954	6055
244	1962	6048
245	1970	6040
246	1979	6033
247	1987	6027
248	1995	6019
249	2003	6011
